-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                rigidSumInternalContactAndJointBatches2         0.00%       0.000us         0.00%       0.000us       0.000us     135.073us         0.02%     135.073us       4.221us           0 b           0 b           0 b           0 b            32            --  
                  $SatelliteVec__reset_idx__sample_goal         0.00%       0.000us         0.00%       0.000us       0.000us     133.152us         0.02%     133.152us     133.152us           0 b           0 b           0 b           0 b             1            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.546us         0.02%     128.546us       6.121us           0 b           0 b           0 b           0 b            21            --  
                                 computeEndPtsHistogram         0.00%       0.000us         0.00%       0.000us       0.000us     123.614us         0.02%     123.614us       3.863us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     123.421us         0.02%     123.421us       2.571us           0 b           0 b           0 b           0 b            48            --  
                                             aten::add_         0.09%     694.714us         0.13%       1.016ms       3.024us     120.419us         0.02%     120.419us       0.358us           0 b           0 b           0 b           0 b           336            --  
                                          aten::normal_         0.05%     414.343us         0.09%     703.776us      21.327us     119.549us         0.02%     119.549us       3.623us           0 b           0 b           0 b           0 b            33            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     119.549us         0.02%     119.549us       3.623us           0 b           0 b           0 b           0 b            33            --  
                                              aten::var         0.01%      92.871us         0.02%     157.915us      39.479us     113.151us         0.02%     113.151us      28.288us           0 b           0 b       2.00 Kb           0 b             4            --  
                                             aten::sqrt         0.08%     668.875us         2.25%      18.009ms     264.833us     113.053us         0.02%     113.053us       1.663us           0 b           0 b      34.00 Kb      34.00 Kb            68            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     113.053us         0.02%     113.053us       1.663us           0 b           0 b           0 b           0 b            68            --  
                                              aten::exp         0.09%     701.320us         0.13%       1.042ms      16.286us     112.320us         0.02%     112.320us       1.755us           0 b           0 b       4.02 Mb       4.02 Mb            64            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.320us         0.02%     112.320us       1.755us           0 b           0 b           0 b           0 b            64            --  
                                    artiUpdateKinematic         0.00%       0.000us         0.00%       0.000us       0.000us     109.504us         0.02%     109.504us     109.504us           0 b           0 b           0 b           0 b             1            --  
                       outputFrozenAndUnfrozenHistogram         0.00%       0.000us         0.00%       0.000us       0.000us     108.863us         0.02%     108.863us       3.402us           0 b           0 b           0 b           0 b            32            --  
                       mergeChangedAABBMgrHandlesLaunch         0.00%       0.000us         0.00%       0.000us       0.000us     108.223us         0.02%     108.223us       3.382us           0 b           0 b           0 b           0 b            32            --  
                               accumulateReportsStage_2         0.00%       0.000us         0.00%       0.000us       0.000us     107.038us         0.02%     107.038us       3.345us           0 b           0 b           0 b           0 b            32            --  
                                   removeAggPairsStage2         0.00%       0.000us         0.00%       0.000us       0.000us     106.942us         0.02%     106.942us       3.342us           0 b           0 b           0 b           0 b            32            --  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.025us         0.02%     101.025us       3.157us           0 b           0 b           0 b           0 b            32            --  
                                      aten::logical_and         0.06%     486.248us         0.15%       1.203ms      15.039us      99.935us         0.02%     122.909us       1.536us           0 b           0 b     128.00 Kb           0 b            80            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.935us         0.02%      99.935us       1.561us           0 b           0 b           0 b           0 b            64            --  
                                          updateHandles         0.00%       0.000us         0.00%       0.000us       0.000us      97.665us         0.02%      97.665us       3.052us           0 b           0 b           0 b           0 b            32            --  
                                              aten::log         0.05%     428.310us         0.49%       3.920ms     122.506us      96.765us         0.02%      96.765us       3.024us           0 b           0 b       6.75 Mb       6.75 Mb            32            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      96.765us         0.02%      96.765us       3.024us           0 b           0 b           0 b           0 b            32            --  
                                               aten::ne         0.07%     592.442us         1.47%      11.739ms     183.415us      93.344us         0.02%      93.344us       1.458us           0 b           0 b     256.00 Kb     256.00 Kb            64            --  
                                    aten::_foreach_norm         0.08%     679.429us         0.57%       4.578ms     286.098us      92.320us         0.02%     116.385us       7.274us           0 b           0 b     136.00 Kb      -8.00 Kb            16            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.931us         0.02%      91.931us       1.436us           0 b           0 b           0 b           0 b            64            --  
                                              aten::abs         0.10%     774.468us         0.66%       5.311ms      41.488us      91.008us         0.02%     182.016us       1.422us           0 b           0 b       2.00 Mb           0 b           128            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      91.008us         0.02%      91.008us       1.422us           0 b           0 b           0 b           0 b            64            --  
